feature,importance,cohort,model,combined_importance,combined_importance_norm
hxvtach,0.0020726163977535,Combined,XGBoost,0.0020726163977535,0.02699114181359706
tdsa,0.0020688216873542,Combined,XGBoost,0.0020688216873542,0.02694172429155098
hcab,0.0020518312944707,Combined,XGBoost,0.0020518312944707,0.026720462844288317
slinods,0.002033670382426,Combined,XGBoost,0.002033670382426,0.02648395803182323
hxmalig,0.0020333601868868,Combined,XGBoost,0.0020333601868868,0.026479918436364287
txaboinc,0.0020195520367016,Combined,XGBoost,0.0020195520367016,0.026300098504303464
chd_hrh,0.0020101443491629,Combined,XGBoost,0.0020101443491629,0.026177584647532726
lsvaso,0.0019850065950054,Combined,XGBoost,0.0019850065950054,0.025850222243145766
txo2,0.0019801561402092,Combined,XGBoost,0.0019801561402092,0.025787056037664336
atrial,0.0019620470802804,Combined,XGBoost,0.0019620470802804,0.025551226481756666
hxaf_fl,0.0019592816453402,Combined,XGBoost,0.0019592816453402,0.02551521294508479
slivino,0.0018968007822834,Combined,XGBoost,0.0018968007822834,0.024701540990530183
hxgi,0.0018862384067354,Combined,XGBoost,0.0018862384067354,0.024563989933511842
hxotresp,0.0018836002253398,Combined,XGBoost,0.0018836002253398,0.02452963358650242
lsnyha,0.0018823303214454,Combined,XGBoost,0.0018823303214454,0.024513095959886835
dtoxo,0.0018764971056744,Combined,XGBoost,0.0018764971056744,0.024437131515006913
rabotype,0.0018501577808585,Combined,XGBoost,0.0018501577808585,0.024094121369882652
hxplyspl,0.0018423034822249,Combined,XGBoost,0.0018423034822249,0.023991836890952724
txtdsxm,0.0018284241455703,Combined,XGBoost,0.0018284241455703,0.023811089916100547
ebv,0.001827545053603,Combined,XGBoost,0.001827545053603,0.023799641731100028
egfr_listing_cat,0.0018220678959493,Combined,XGBoost,0.0018220678959493,0.02372831413805064
txbcdc,0.0018081126357278,Combined,XGBoost,0.0018081126357278,0.023546578430424077
dmhhyten,0.0018048921618426,Combined,XGBoost,0.0018048921618426,0.023504639040464296
slhosp,0.0017839716134588,Combined,XGBoost,0.0017839716134588,0.0232321962049944
txepine,0.0017778277499021,Combined,XGBoost,0.0017778277499021,0.02315218627516753
dabotype,0.0017770838592155,Combined,XGBoost,0.0017770838592155,0.023142498781120104
drhtype,0.0017597215710031,Combined,XGBoost,0.0017597215710031,0.022916394238158184
status_txpl,0.0017489017330206,Combined,XGBoost,0.0017489017330206,0.022775490315125275
