feature,importance,cohort,model,combined_importance,importance_xgb,combined_importance_norm
hxsyn_u,0.4043629409720244,Myocardio,CatBoost,0.24261776458321463,0.0,0.04807468538880635
lsnitro,0.4037425168851546,Myocardio,CatBoost,0.24224551013109274,0.0,0.04800092320696
lpace,0.3961487100607011,Myocardio,CatBoost,0.23768922603642068,0.0,0.047098095976770706
txdopa,0.3877782664279139,Myocardio,CatBoost,0.23592050964974354,0.008133874482488,0.04674762500454985
ltxtrach,0.3700250703460094,Myocardio,CatBoost,0.23523277284212346,0.0330443265862946,0.04661135002603196
incarctn,0.3841086478600667,Myocardio,CatBoost,0.23255243762226677,0.0052181222655669,0.046080241874687365
hxsyn,0.3851047133279817,Myocardio,CatBoost,0.23182001680262748,0.0018929720145962,0.04593511276373023
donspxm,0.3835415028314855,Myocardio,CatBoost,0.23046346833414116,0.0008464165881246773,0.04566631282259987
hxleoprd,0.3773684650524951,Myocardio,CatBoost,0.22642107903149705,0.0,0.04486531379321084
slvad,0.37119943046958,Myocardio,CatBoost,0.223054684900885,0.0008375665478425819,0.04419826313844153
txbpam,0.3676523133043953,Myocardio,CatBoost,0.22208165657679965,0.0037256714854062,0.04400545767493741
don_nsyn,0.3520831799812269,Myocardio,CatBoost,0.21232461620041798,0.0026867705292046,0.042072101116211284
txldpt,0.3501451896779332,Myocardio,CatBoost,0.211387638694443,0.0032513122192077,0.041886439118650975
hxheptyc,0.3480789898901801,Myocardio,CatBoost,0.20884739393410806,0.0,0.041383089877619704
sec_dx,0.33576767643568,Myocardio,CatBoost,0.20628091513632527,0.0120507731872932,0.04087454236473496
lspgi,0.335441073739696,Myocardio,CatBoost,0.2012646442438176,0.0,0.03988056879731459
txpalb_r,0.3296270386667774,Myocardio,CatBoost,0.19820523332002968,0.0010725252999081,0.03927434683377105
hxrespun,0.3245526481217125,Myocardio,CatBoost,0.19473158887302747,0.0,0.03858604453971158
txbpcw,0.3181714302196701,Myocardio,CatBoost,0.192637231947924,0.0043359345403049,0.03817104792790461
txbrp,0.3120136867003228,Myocardio,CatBoost,0.18877240726197902,0.0039104881044633,0.03740523330926414
tdsa,0.3104289814456236,Myocardio,CatBoost,0.18720858995265602,0.0023780027132047,0.037095363068391944
lspcmt,0.3075098902444982,Myocardio,CatBoost,0.1853169608849068,0.0020275668455197,0.03672053696091137
dhbcab,0.3054111976439793,Myocardio,CatBoost,0.18414503075289512,0.0022457804162689,0.03648831912438605
txpbnp_r,0.3005084111585174,Myocardio,CatBoost,0.18115861065495686,0.0021339098996161,0.03589656028556472
